,brand,model,color,registration_date,year,price_in_euro,power_kw,power_ps,transmission_type,fuel_type,fuel_consumption_l_100km,fuel_consumption_g_km,mileage_in_km,offer_description
93699,lamborghini,Lamborghini,grey,18-Aug,2018,5890500,566,770,Automatic,Petrol,16 l/100 km,370 g/km,65,CENTENARIO ROADSTER LP770-4 |1 OF 20 |NO MILEAGE
93840,lamborghini,Lamborghini,black,21-Nov,2021,3250000,602,818,Automatic,Hybrid,"14,8 l/100 km",373 g/km,177,Sian
106583,mercedes-benz,Mercedes-Benz SLR,grey,7-Jan,2007,2490000,478,650,Automatic,Petrol,"14,5 l/100 km",348 g/km,15793,722 MSO McLaren Edition 1 of 25 worldwide  Nr.12
1509,aston-martin,Aston Martin,brown,11-Aug,2011,2289000,559,760,Automatic,Petrol,,#NAME?,8900,One-77 I Bang Olufsen I Carbon I Q-Ausstattung
165445,porsche,Porsche 918,white,14-Jun,2014,1990000,652,886,Automatic,Hybrid,"3,1 l/100 km",72 g/km,5125,Spyder WEISSACH PAKET MAGNESIUM FELGEN
164621,porsche,Porsche Carrera GT,black,6-Apr,2006,1580000,450,612,Manual,Petrol,,#NAME?,13460,CARRERA GT | NR. 1234 | UNIQUE COLOR COMBO
164598,porsche,Porsche Carrera GT,black,5-Apr,2005,1549000,450,612,Manual,Petrol,,#NAME?,26800,1.Hd Deutsches Fahrzeug !! Mwst awb!!
165783,porsche,Porsche 991,white,15-Jan,2015,1350000,316,430,Automatic,Petrol,"8,9 l/100 km",207 g/km,27000,Carrera GTS Cabrio nur 27.000km Komfortpaket
52260,ferrari,Ferrari F12,yellow,17-Apr,2017,1290000,570,775,Automatic,Petrol,,#NAME?,10800,*TDF 1of799*Ferrari-Dresden*
165263,porsche,Porsche 918,grey,14-Jul,2014,1290000,652,886,Automatic,Hybrid,- (l/100 km),0 g/km,31490,Spyder | Weissach-Package | service new
1671,aston-martin,Aston Martin Vantage,green,22-Apr,2022,1288000,515,700,Automatic,Petrol,,#NAME?,1600,V12 Speedster
1657,aston-martin,Aston Martin Vantage,blue,22-Jun,2022,1170000,515,700,Automatic,Petrol,"11,4 l/100 km",298 g/km,80,V12 Speedster 1 of 88
52149,ferrari,Ferrari 599,red,11-Apr,2011,1150000,493,670,Automatic,Petrol,"17,5 l/100 km",411 g/km,3800,GTO * German delivery * rare color *
52218,ferrari,Ferrari 458,blue,15-Jul,2015,1045800,445,605,Automatic,Petrol,"13,3 l/100 km",307 g/km,2824,Speciale Aperta |Tour de France| 878.824€ n.
37591,bmw,BMW 550,brown,18-Jul,2018,1010101,294,400,Automatic,Diesel,"6,3 l/100 km",165 g/km,87000,M550d xDrive Touring Aut.(Hagelschaden!!!) VB!!!
